number,value,datetime_start,datetime_complete,duration,params_d_model,params_dropout,params_ff_mult,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
34,,2026-06-24 02:25:30.282897,2026-06-24 02:25:31.012222,0 days 00:00:00.729325,256,0.15000000000000002,2,0.00014257778934394122,8,3,1.3221980494831054e-07,PRUNED
35,0.25460391864180565,2026-06-24 02:25:31.013921,2026-06-24 02:32:39.611861,0 days 00:07:08.597940,256,0.2,2,0.00019588362239015322,8,2,1.003998505072074e-07,COMPLETE
36,,2026-06-24 02:32:39.614635,2026-06-24 02:32:40.891274,0 days 00:00:01.276639,256,0.2,2,0.00015877084120683092,8,4,1.1494973189263054e-07,PRUNED
37,,2026-06-24 02:32:40.895262,2026-06-24 02:32:41.550722,0 days 00:00:00.655460,256,0.2,2,0.00014113466964372248,8,5,1.707974582955593e-07,PRUNED
38,0.25648200139403343,2026-06-24 02:32:41.553681,2026-06-24 02:38:08.909923,0 days 00:05:27.356242,128,0.1,2,0.00011786313264863136,8,3,1.445588815584988e-07,COMPLETE
39,0.22835703194141388,2026-06-24 02:38:08.911562,2026-06-24 02:45:47.719762,0 days 00:07:38.808200,256,0.15000000000000002,2,0.00019569238343499954,16,2,1.8457896505243442e-07,COMPLETE
40,,2026-06-24 02:45:47.721752,2026-06-24 02:45:48.930694,0 days 00:00:01.208942,256,0.15000000000000002,2,0.00019372011770630584,16,3,1.9248066091292269e-07,PRUNED
41,,2026-06-24 02:45:48.932427,2026-06-24 02:45:49.837270,0 days 00:00:00.904843,256,0.15000000000000002,2,0.00023799347285865662,16,2,1.1493279654130752e-07,PRUNED
42,0.2278950810432434,2026-06-24 02:45:49.839171,2026-06-24 02:53:30.225133,0 days 00:07:40.385962,256,0.1,2,0.0001744212969944921,16,2,1.3272551234942422e-07,COMPLETE
43,,2026-06-24 02:53:30.226868,2026-06-24 02:53:31.197779,0 days 00:00:00.970911,256,0.1,2,0.00018039845386280638,16,3,1.4516249253769556e-07,PRUNED
44,,2026-06-24 02:53:31.199386,2026-06-24 02:53:31.888452,0 days 00:00:00.689066,256,0.1,2,0.00020877174733845792,16,2,1.5926126129058448e-07,PRUNED
45,,2026-06-24 02:53:31.890142,2026-06-24 02:53:32.809024,0 days 00:00:00.918882,256,0.15000000000000002,2,0.00014752003478243892,16,4,1.3559188142642583e-07,PRUNED
46,,2026-06-24 02:53:32.810592,2026-06-24 02:53:33.305670,0 days 00:00:00.495078,256,0.1,2,0.00013114767967586295,16,3,1.1575752134094236e-07,PRUNED
47,0.22570175305008888,2026-06-24 02:53:33.307139,2026-06-24 02:58:14.325982,0 days 00:04:41.018843,128,0.15000000000000002,2,0.00022655545361388279,16,2,1.766850498914009e-07,COMPLETE
48,0.22653982415795326,2026-06-24 02:58:14.327722,2026-06-24 03:05:09.501036,0 days 00:06:55.173314,128,0.1,2,0.00022969581146393674,16,3,1.3217729032990628e-07,COMPLETE
49,0.2445332109928131,2026-06-24 03:05:09.502868,2026-06-24 03:16:33.232558,0 days 00:11:23.729690,128,0.1,2,0.0002469566206865985,16,5,1.6949355951846528e-07,COMPLETE
50,0.22453255951404572,2026-06-24 03:16:33.234349,2026-06-24 03:23:33.117074,0 days 00:06:59.882725,128,0.1,2,0.00021342019575489596,16,3,2.4422923416904367e-07,COMPLETE
51,0.2449212148785591,2026-06-24 03:23:33.119005,2026-06-24 03:30:29.833149,0 days 00:06:56.714144,128,0.1,2,0.00022603775526855782,16,3,2.1676792364784466e-07,COMPLETE
52,0.2393059954047203,2026-06-24 03:30:29.835008,2026-06-24 03:37:34.805456,0 days 00:07:04.970448,128,0.1,2,0.0002123306962887021,16,3,2.4468448166216546e-07,COMPLETE
53,0.23105495795607567,2026-06-24 03:37:34.807215,2026-06-24 03:46:57.721534,0 days 00:09:22.914319,128,0.1,2,0.00028947475364271823,16,4,2.0209315821530344e-07,COMPLETE
54,0.24123698472976685,2026-06-24 03:46:57.723957,2026-06-24 03:52:20.146089,0 days 00:05:22.422132,128,0.1,2,0.00023241998095245182,16,2,2.7008073384121643e-07,COMPLETE
55,0.23473233357071877,2026-06-24 03:52:20.149656,2026-06-24 03:59:50.469439,0 days 00:07:30.319783,128,0.1,4,0.00025255935489076924,16,3,1.7651118688207676e-07,COMPLETE
56,,2026-06-24 03:59:50.471368,2026-06-24 03:59:51.451420,0 days 00:00:00.980052,128,0.1,2,0.00020151080062309176,16,6,3.0160574408074265e-07,PRUNED
57,,2026-06-24 03:59:51.453034,2026-06-24 03:59:52.032245,0 days 00:00:00.579211,128,0.15000000000000002,2,0.0002193579506021503,16,2,1.2850343906247212e-07,PRUNED
58,0.2258307784795761,2026-06-24 03:59:52.033818,2026-06-24 04:09:31.824521,0 days 00:09:39.790703,128,0.1,4,0.0002569863095967175,16,4,2.3540788254621235e-07,COMPLETE
59,0.22747497260570526,2026-06-24 04:09:31.826169,2026-06-24 04:19:10.970686,0 days 00:09:39.144517,128,0.1,4,0.00026879615530262256,16,4,3.5560477039451584e-07,COMPLETE
60,,2026-06-24 04:19:10.972680,2026-06-24 04:19:11.764171,0 days 00:00:00.791491,128,0.1,4,0.0003043596192193425,16,5,4.1320938521265013e-07,PRUNED
61,,2026-06-24 04:19:11.765857,2026-06-24 04:19:12.430760,0 days 00:00:00.664903,128,0.1,4,0.00027666237100438276,16,4,3.428913061043915e-07,PRUNED
62,0.22657600417733192,2026-06-24 04:19:12.432402,2026-06-24 04:28:52.157566,0 days 00:09:39.725164,128,0.1,4,0.0002668865258238255,16,4,4.685609934902894e-07,COMPLETE
63,,2026-06-24 04:28:52.159435,2026-06-24 04:28:52.962546,0 days 00:00:00.803111,128,0.1,4,0.0002614695246191733,16,5,5.067915934442731e-07,PRUNED
64,,2026-06-24 04:28:52.964207,2026-06-24 04:28:53.619416,0 days 00:00:00.655209,128,0.1,4,0.00030759920982856667,16,4,3.6800665974397056e-07,PRUNED
65,0.22143904864788055,2026-06-24 04:28:53.621213,2026-06-24 04:38:32.800211,0 days 00:09:39.178998,128,0.1,4,0.00027862139362031473,16,4,4.7187394160815817e-07,COMPLETE
66,,2026-06-24 04:38:32.802120,2026-06-24 04:38:33.684972,0 days 00:00:00.882852,128,0.1,4,0.0003440044064534364,16,6,6.546931693389625e-07,PRUNED
67,,2026-06-24 04:38:33.686627,2026-06-24 04:38:34.424192,0 days 00:00:00.737565,128,0.1,4,0.0002851645371804766,16,4,4.7637345868214286e-07,PRUNED
68,,2026-06-24 04:38:34.425965,2026-06-24 04:38:35.190386,0 days 00:00:00.764421,128,0.1,4,0.00033259501855030044,16,5,6.119450914149527e-07,PRUNED
69,,2026-06-24 04:38:35.192006,2026-06-24 04:38:35.817421,0 days 00:00:00.625415,128,0.1,4,0.0002480544551624706,4,3,2.3237405993826294e-07,PRUNED
70,,2026-06-24 04:38:35.819233,2026-06-24 04:38:36.956924,0 days 00:00:01.137691,512,0.1,4,0.0002332360876590199,16,3,4.789916930371331e-07,PRUNED
71,,2026-06-24 04:38:36.958597,2026-06-24 04:38:37.556343,0 days 00:00:00.597746,128,0.1,4,0.00026574546250499384,16,4,4.258529147812448e-07,PRUNED
72,0.21540724858641624,2026-06-24 04:38:37.558109,2026-06-24 04:48:17.355743,0 days 00:09:39.797634,128,0.1,4,0.00027298525825010105,16,4,3.243801084833132e-07,COMPLETE
73,0.2495027370750904,2026-06-24 04:48:17.357826,2026-06-24 04:55:36.352803,0 days 00:07:18.994977,128,0.1,4,0.00025258705834328764,16,3,3.238338570799952e-07,COMPLETE
