epoch,train_loss,val_loss,lr,grad_norm_mean,grad_norm_max
64,0.145760,0.243055,0.00031392,0.1527,0.2872
65,0.164794,0.265082,0.00031174,0.1471,0.2044
66,0.157147,0.257401,0.00030953,0.1944,0.2739
67,0.148351,0.278432,0.00030728,0.1290,0.2731
68,0.150175,0.254448,0.00030499,0.1367,0.2121
69,0.159932,0.231403,0.00030267,0.1831,0.3250
70,0.156524,0.244427,0.00030031,0.1976,0.3550
71,0.159000,0.256672,0.00029791,0.1401,0.2326
72,0.154155,0.219737,0.00029547,0.1566,0.2389
73,0.154414,0.252091,0.00029301,0.1694,0.2254
74,0.157042,0.234632,0.00029050,0.1581,0.2664
75,0.159292,0.248791,0.00028797,0.1430,0.2402
76,0.164007,0.237880,0.00028540,0.1313,0.2400
77,0.154672,0.230640,0.00028280,0.1439,0.2134
78,0.154500,0.240326,0.00028017,0.1346,0.2623
79,0.157079,0.259670,0.00027751,0.1474,0.2241
80,0.146364,0.249400,0.00027482,0.1388,0.2493
81,0.146609,0.240031,0.00027210,0.1236,0.2327
82,0.156666,0.247554,0.00026936,0.1553,0.2514
83,0.156205,0.247336,0.00026658,0.1542,0.2587
84,0.155711,0.256140,0.00026379,0.1353,0.1882
85,0.151408,0.255148,0.00026096,0.1432,0.2218
86,0.156059,0.223631,0.00025812,0.1529,0.2342
87,0.156869,0.238680,0.00025525,0.1559,0.2824
88,0.140632,0.215984,0.00025235,0.1427,0.2097
89,0.148364,0.235886,0.00024944,0.1025,0.1625
90,0.161493,0.247016,0.00024650,0.1194,0.2042
91,0.152315,0.255762,0.00024355,0.1489,0.2759
92,0.153708,0.252065,0.00024058,0.1368,0.2086
93,0.152096,0.250356,0.00023758,0.1846,0.3251
94,0.146874,0.255399,0.00023458,0.1387,0.2176
95,0.148589,0.236145,0.00023155,0.1220,0.1870
96,0.148503,0.248682,0.00022851,0.1217,0.1976
97,0.148931,0.273554,0.00022546,0.1278,0.1735
98,0.155954,0.250875,0.00022239,0.1903,0.3056
99,0.146911,0.238350,0.00021931,0.1588,0.3126
100,0.151279,0.268295,0.00021622,0.1265,0.2534
101,0.155357,0.235973,0.00021312,0.1300,0.2204
102,0.158885,0.229616,0.00021001,0.1156,0.2032
103,0.142877,0.254428,0.00020689,0.1038,0.1652
104,0.153105,0.238676,0.00020376,0.1393,0.2186
105,0.150155,0.245499,0.00020063,0.1160,0.1823
106,0.157852,0.245776,0.00019749,0.1117,0.1751
107,0.146390,0.230203,0.00019434,0.1043,0.1460
108,0.152325,0.304986,0.00019119,0.0979,0.1341
109,0.152907,0.255242,0.00018804,0.1134,0.1905
110,0.157830,0.247955,0.00018489,0.1147,0.2022
111,0.139113,0.283289,0.00018173,0.1007,0.1750
112,0.153428,0.223419,0.00017858,0.1159,0.1787
113,0.148447,0.267413,0.00017543,0.0907,0.1688
114,0.147224,0.229218,0.00017228,0.0947,0.1657
115,0.156245,0.253289,0.00016913,0.0974,0.1369
116,0.138345,0.237641,0.00016598,0.0886,0.1737
117,0.149315,0.244757,0.00016284,0.0966,0.2090
118,0.155975,0.250578,0.00015971,0.1201,0.1712
119,0.146849,0.237656,0.00015658,0.1015,0.1558
120,0.143903,0.250493,0.00015346,0.0774,0.1200
121,0.150639,0.241805,0.00015035,0.0998,0.1926
122,0.151913,0.282877,0.00014725,0.1108,0.1628
123,0.142261,0.239834,0.00014416,0.0830,0.1276
124,0.145577,0.285321,0.00014108,0.0812,0.1374
125,0.149073,0.269355,0.00013801,0.0927,0.1877
126,0.149174,0.241775,0.00013496,0.1014,0.1463
127,0.143476,0.239266,0.00013192,0.0823,0.1355
128,0.148342,0.279129,0.00012889,0.0830,0.1244
129,0.154024,0.273148,0.00012588,0.0749,0.1144
130,0.156035,0.271599,0.00012289,0.0841,0.1361
131,0.147979,0.241907,0.00011992,0.0883,0.1393
132,0.141580,0.256841,0.00011696,0.0861,0.1742
133,0.148590,0.248852,0.00011403,0.0978,0.1719
134,0.140249,0.273817,0.00011112,0.0681,0.0978
135,0.138063,0.247022,0.00010822,0.0727,0.1333
136,0.150606,0.255055,0.00010535,0.0779,0.1161
137,0.147374,0.241148,0.00010251,0.0822,0.1289
138,0.149041,0.270438,0.00009968,0.0668,0.0969
139,0.141727,0.249838,0.00009688,0.0646,0.1283
140,0.150870,0.270375,0.00009411,0.0866,0.1092
141,0.148246,0.280498,0.00009137,0.0701,0.0972
142,0.138293,0.278133,0.00008865,0.0685,0.1041
143,0.149006,0.245683,0.00008596,0.0854,0.1428
144,0.147980,0.265248,0.00008330,0.0768,0.1384
145,0.151689,0.265464,0.00008067,0.0785,0.1149
146,0.149816,0.225153,0.00007807,0.0657,0.0939
147,0.148973,0.257970,0.00007550,0.0544,0.0902
148,0.153231,0.231782,0.00007297,0.0708,0.1056
149,0.149649,0.269584,0.00007046,0.0750,0.1141
150,0.148002,0.231299,0.00006799,0.0766,0.1179
151,0.141631,0.262724,0.00006556,0.0720,0.1064
152,0.144851,0.295444,0.00006316,0.0634,0.0876
153,0.151050,0.271354,0.00006080,0.0645,0.1113
154,0.148401,0.255380,0.00005847,0.0675,0.1121
155,0.156142,0.229088,0.00005619,0.0625,0.0954
156,0.141134,0.280136,0.00005394,0.0543,0.0796
157,0.161077,0.242781,0.00005172,0.0661,0.0947
158,0.157883,0.251851,0.00004955,0.0526,0.0766
159,0.154314,0.269785,0.00004742,0.0555,0.0821
160,0.148228,0.256383,0.00004533,0.0542,0.0690
161,0.158317,0.298020,0.00004328,0.0511,0.0792
162,0.147236,0.257797,0.00004128,0.0569,0.1018
163,0.140536,0.261996,0.00003931,0.0464,0.0749
164,0.146940,0.262697,0.00003739,0.0586,0.0788
165,0.145988,0.232128,0.00003552,0.0514,0.0816
166,0.145354,0.246497,0.00003369,0.0541,0.0920
167,0.142207,0.250705,0.00003190,0.0453,0.0697
168,0.146992,0.261390,0.00003016,0.0496,0.0711
169,0.150752,0.277754,0.00002846,0.0444,0.0681
170,0.142457,0.286920,0.00002681,0.0435,0.0666
171,0.142248,0.270363,0.00002521,0.0402,0.0600
172,0.148954,0.243219,0.00002366,0.0490,0.0763
173,0.149227,0.252746,0.00002216,0.0459,0.0807
174,0.150995,0.276331,0.00002070,0.0373,0.0655
175,0.149175,0.279202,0.00001929,0.0439,0.0792
176,0.141986,0.266164,0.00001793,0.0404,0.0672
177,0.159541,0.252747,0.00001663,0.0403,0.0601
178,0.144239,0.229575,0.00001537,0.0430,0.0708
179,0.147349,0.231200,0.00001416,0.0430,0.0747
180,0.147989,0.236568,0.00001300,0.0362,0.0482
181,0.150601,0.206559,0.00001190,0.0354,0.0648
182,0.152903,0.235571,0.00001085,0.0365,0.0619
183,0.153692,0.257999,0.00000985,0.0383,0.0828
184,0.144932,0.268177,0.00000890,0.0375,0.0591
185,0.155017,0.259584,0.00000800,0.0381,0.0772
186,0.150138,0.275855,0.00000716,0.0359,0.0612
187,0.149758,0.262334,0.00000637,0.0351,0.0558
188,0.151589,0.270292,0.00000563,0.0334,0.0685
189,0.138106,0.219060,0.00000495,0.0331,0.0464
190,0.151053,0.266115,0.00000432,0.0330,0.0570
191,0.158041,0.264745,0.00000375,0.0362,0.0630
192,0.153894,0.266303,0.00000323,0.0327,0.0508
193,0.138807,0.276569,0.00000276,0.0317,0.0540
194,0.155650,0.248857,0.00000235,0.0334,0.0513
195,0.162676,0.257913,0.00000199,0.0331,0.0529
196,0.154863,0.238102,0.00000169,0.0325,0.0527
197,0.147228,0.275654,0.00000144,0.0310,0.0533
198,0.148424,0.270664,0.00000125,0.0331,0.0582
199,0.147632,0.249494,0.00000111,0.0306,0.0503
200,0.155135,0.253057,0.00000103,0.0324,0.0646
