,ADOSC_3_10_minmax,ADX_14_minmax,ATR_14_minmax,BBANDS_lowerband_distance_close,BBANDS_middleband_distance_close,BBANDS_upperband_distance_close,CCI_14_minmax,EMA_10_distance_close,EMA_200_distance_close,EMA_50_distance_close,MACD_macd,MACD_macdhist,MACD_macdsignal,OBV__minmax,RSI_14_minmax,SAR__distance_close,STOCH_slowd_minmax,STOCH_slowk_minmax,volume_lr,weekday_cos,weekday_sin
ADOSC_3_10_minmax,1.0,0.0028899596962122585,-0.0307210529709748,0.28905688210527497,0.3312193058495458,0.2317139242045365,0.5434945283993702,0.4379956417532839,0.019320972528269857,0.130901635550036,-0.026846501860655195,0.3045440309879486,-0.12954620327988328,0.41456399921304776,0.6006064674291421,0.45917325131352577,0.528539517225386,0.6086876742516363,0.002646150243151726,0.002411278389747238,-0.006049212405467044
ADX_14_minmax,0.0028899596962122585,1.0,0.12910040872228415,0.25779739683694225,0.04904536333280907,-0.15197316798385194,-0.03978040731241256,0.03638671632205001,0.025420814164052143,0.0550674606785455,0.06216962530610803,0.03260887429367729,0.0556658300232317,0.07927542325635174,0.06251750272131501,0.0035604662802634153,0.04500141664247686,0.028792457152983456,-0.0017843329436714813,-0.001676344707904531,-0.0014521164714236235
ATR_14_minmax,-0.0307210529709748,0.12910040872228415,1.0,-0.01745456281480638,-0.123054237579221,-0.16401143143734292,-0.0410477449568225,-0.09645755072097731,0.024706263454408923,-0.05370885197376882,-0.04958958858031682,-0.11722696051835527,-0.01419680857611358,-0.09409659085821814,-0.10477047374543942,-0.10400508658624193,-0.11752774191198581,-0.09776743510699377,0.002078607021072963,-0.0033094469672328673,-0.015184420963564909
BBANDS_lowerband_distance_close,0.28905688210527497,0.25779739683694225,-0.01745456281480638,1.0,0.741248767933932,0.21260848825613987,0.23808371394196803,0.7011533950227322,0.25917318369765957,0.5630078329983008,0.33561454505499105,0.45779059279086554,0.20720526435170622,0.5199593204949834,0.5100294584589006,0.6030743699534852,0.42213341236089336,0.42123257482931525,0.0017387214236403291,0.0020566100273703837,-0.004193825558351634
BBANDS_middleband_distance_close,0.3312193058495458,0.04904536333280907,-0.123054237579221,0.741248767933932,1.0,0.8134801635512333,0.2851794696093896,0.9269184385423255,0.5212219508439748,0.8517284200973516,0.48044898682841136,0.5554109603009112,0.3297180935448533,0.6433577462206646,0.5840714602875242,0.7833818183953857,0.4827364938148454,0.491838884215362,0.0045714770369741165,0.0007606467783103808,-0.004663147201058253
BBANDS_upperband_distance_close,0.2317139242045365,-0.15197316798385194,-0.16401143143734292,0.21260848825613987,0.8134801635512333,1.0,0.20885794474492755,0.7418332945934109,0.5342014752352241,0.7520733861018544,0.408613414477475,0.4118782549315157,0.30044950095230255,0.4860394119877935,0.40833775306627995,0.6178624985333631,0.33697850530570983,0.3510097635071448,0.005148357138410063,-0.0006746607795393619,-0.0031545616039628265
CCI_14_minmax,0.5434945283993702,-0.03978040731241256,-0.0410477449568225,0.23808371394196803,0.2851794696093896,0.20885794474492755,1.0,0.5012938353418078,-0.006092056063713851,0.09147841626202992,-0.11191184798730466,0.25292987892973423,-0.20339587730056585,0.46723435839503236,0.7875259438819193,0.5685158999381577,0.5377800631745375,0.7291586038298754,0.00017336825516548707,-0.0037686601523839796,-0.004674352012311011
EMA_10_distance_close,0.4379956417532839,0.03638671632205001,-0.09645755072097731,0.7011533950227322,0.9269184385423255,0.7418332945934109,0.5012938353418078,1.0,0.43764836834158716,0.7491124142097106,0.34251651278359174,0.51212258839569,0.196592705552569,0.6651978604554926,0.7049558439198257,0.8416190045232802,0.47713040679557117,0.5659936368589434,0.003644472421560805,-0.0014389777931128624,-0.008592542554708838
EMA_200_distance_close,0.019320972528269857,0.025420814164052143,0.024706263454408923,0.25917318369765957,0.5212219508439748,0.5342014752352241,-0.006092056063713851,0.43764836834158716,1.0,0.8093678127359594,0.4700075267923245,0.08843025817081566,0.47318935371947524,0.2862537382667789,0.08232665794399148,0.3275952118319699,0.07657130238041313,0.08699754566162153,0.002950650745620877,-0.00038320785299928003,-0.0005111311486034627
EMA_50_distance_close,0.130901635550036,0.0550674606785455,-0.05370885197376882,0.5630078329983008,0.8517284200973516,0.7520733861018544,0.09147841626202992,0.7491124142097106,0.8093678127359594,1.0,0.5980904241130373,0.30580898952341223,0.5381373239559482,0.5008598935961606,0.2961025482989062,0.585671649969049,0.23315189516281346,0.24895241244815017,0.003914915318378302,-0.0012363581468674985,-0.0013933588457955362
