Ticker,AAPL,ABT,ACN,ADBE,AIG,ALL,AMGN,AMZN,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KMB,KO,LLY,LMT,LOW,MA,MCD,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,QCOM,SBUX,SLB,SO,SPG,T,TGT,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
AAPL,1.0,0.32816882846025164,0.38434243332894596,0.38159703366152853,0.31338793926783187,0.331479048672064,0.3067185677675352,0.3844976603774375,0.3704425525775711,0.3997035863851398,0.3542114562445329,0.24082766012081275,0.3431227218982972,0.37612818916143786,0.38947450450729254,0.21904686255984032,0.3587471458085076,0.4217433269047393,0.2632628202701568,0.25921244176479513,0.33621191474086415,0.38056330412679135,0.31378885101629606,0.30823204039597685,0.39287322243141093,0.2757729908066772,0.3509879929801582,0.3159820506697927,0.3727881718727275,0.14185493361980106,0.40255437175001196,0.183998520820167,0.3650669921134311,0.358465934546647,0.3719031459583627,0.32697536523942006,0.23918746344148067,0.45599029625434107,0.45519920695257804,0.3664569749607814,0.3257893866367374,0.3694947158025832,0.43882789847502984,0.3746603870614364,0.41321804333707984,0.2978768249085068,0.36557658262059056,0.20590415250010222,0.27088047238781815,0.23842329114484506,0.34149229556810845,0.30312193984740005,0.4418815335565096,0.3103086259590774,0.33750458094779273,0.36649977583012283,0.41276196307963187,0.2619110100521742,0.2664309380972396,0.34236131450692386,0.4422921431949014,0.21113912904718393,0.21105311296212328,0.3271369635873632,0.3676824099918316,0.392526784518267,0.3335083702308388,0.2556429511578548,0.3152678275963066,0.26393513368613264,0.28957378028216574,0.391541447756033,0.35827876527381725,0.35686660487446187,0.13835345248319386,0.30459951618245984,0.2783215750380126,0.23765880718508606,0.45901646755382974,0.3371275436628956,0.3848510177538503,0.3559298664335861,0.37482326977953,0.38756476174903676,0.23037059198609797,0.36804503645291314,0.22986967105039435,0.34492551637700997
ABT,0.32816882846025164,1.0,0.47299859305345143,0.4150177249736644,0.3637774949186542,0.42290421566578307,0.5101195957958846,0.3388595501726662,0.45348137547986034,0.45764847045385076,0.38805203242718694,0.4129669088626318,0.4644442738486557,0.34897384538512394,0.507340355110495,0.4191173813451527,0.43840804067276395,0.3898348372706878,0.284997192056411,0.39810816292773377,0.3917349812549628,0.40635761463492687,0.35767548027851126,0.4011302650043846,0.39477419058050034,0.4029865491083886,0.4318419004361859,0.40931303361154997,0.4478793229136048,0.2825394086154783,0.45497650655755356,0.25958724467497196,0.3627415729700225,0.44008020318875574,0.47421542704616687,0.3869212856791705,0.41813845526132265,0.4177677129610386,0.4222219633153502,0.42981635419762243,0.3159059432336436,0.44391462086806033,0.5060410664618137,0.45397006866798095,0.43484299246233826,0.5326037017849284,0.4532023588090511,0.36775711516464377,0.41290193621757026,0.4982864485957505,0.4290148779445117,0.3778093737905173,0.45261370689155084,0.3729287916664376,0.564942324802955,0.44340334931556796,0.5090778166571449,0.3587747628356568,0.5150430647126982,0.4443228355607637,0.4398222833952384,0.3174526642870297,0.19368559761931298,0.37163541757939333,0.30072590849005126,0.4287704165892383,0.378174989057077,0.4037936455549644,0.5130422688868157,0.38933234115998117,0.3596687434348672,0.3782127014383037,0.35575748134277735,0.35165009136282627,0.25202967804384524,0.3607481954386474,0.3781562747856619,0.3088174102820556,0.41684126275412064,0.4364202877419015,0.41719569888017527,0.4596127073598121,0.46607901227797915,0.4563051758468026,0.3748930917976296,0.44701608782392277,0.3579028773071649,0.4412356810794944
ACN,0.38434243332894596,0.47299859305345143,1.0,0.47316151872764484,0.44097110535539974,0.4799935320525729,0.4007891856651734,0.41234255823342636,0.482628801582173,0.5131668416795663,0.46619177719348176,0.33296180422212013,0.5227002707441902,0.3992691541411896,0.5728028310983282,0.35362966399572976,0.5380818578911373,0.509711198458078,0.3022966654169454,0.3997126245985002,0.4397607398698432,0.46440885491370565,0.39348759243597686,0.41032318285915514,0.5012293670578328,0.394417548214539,0.484556478054264,0.436790652262391,0.49115056368054205,0.26966865966400355,0.5490941009698139,0.27370965759023413,0.44256936247366235,0.5111553893501595,0.5256349690192329,0.43677814045007246,0.34340111619367597,0.4562773344109805,0.45702633565475753,0.48430453102051335,0.42653036472312633,0.48452745803516156,0.6131172918505127,0.5622815291241292,0.4846238926084699,0.4591107811187062,0.5221992494112979,0.3215039011139153,0.42349769915815266,0.3585627760815712,0.4412130905874196,0.4114599019763885,0.5359017394677019,0.3952077794378119,0.4941001778074634,0.5351413081717262,0.5651337516287026,0.35302170541910805,0.40628100174209625,0.5142853826659441,0.5193002701776573,0.3265724414695887,0.22413067204987783,0.38918639214036393,0.4080360456086169,0.5803779065458099,0.47386001723702026,0.4041501459454031,0.4385435909548032,0.3697483170689192,0.38187746983965737,0.4222825422888052,0.4435733971400255,0.4636118669439024,0.2413921433805011,0.41602382455919024,0.3909974421710793,0.3050299027020524,0.5179952483094759,0.41408028837606103,0.48531457906400843,0.48818546273521773,0.5215359772113797,0.4919871952225175,0.3483533775511187,0.5015820234343762,0.3121645355835452,0.49587217814231493
ADBE,0.38159703366152853,0.4150177249736644,0.47316151872764484,1.0,0.37543955765740883,0.40304476976164805,0.3809543050610536,0.4512788650096283,0.43377831901351727,0.4397259407811004,0.41995452385336557,0.33867938674357045,0.4295745613276311,0.42057559017027435,0.4792081202616635,0.2665822522436766,0.44396050121339814,0.43120502763214275,0.29162749885102596,0.29668656684424116,0.3826339880243282,0.4046134461886135,0.34592359323781097,0.3531064460654517,0.4300811405697279,0.31846938644342937,0.3758393413673467,0.39874719463587827,0.4383951492843527,0.2196875780881915,0.4403270597519506,0.20085804058764414,0.38701762079497715,0.46872124935347736,0.45186378553256357,0.3782126917047204,0.3319044057688514,0.4773176703648098,0.4799525502155879,0.43166333751523617,0.3445212278948528,0.43024774007769556,0.5168091150593859,0.4068701845007929,0.4396162028021872,0.3953936319236043,0.4384126018618605,0.24593413470265232,0.3406785314519152,0.3064564966642984,0.3901726928127985,0.38013020945382814,0.49793818329149653,0.3245753586834326,0.41002889082592453,0.4539781765338541,0.4759108007890856,0.2566438178864592,0.327620959193921,0.4502567764632364,0.5392790928670053,0.29184367886667983,0.2735759230010053,0.40707031406583133,0.43687702795221245,0.4692874648734875,0.3910089523348453,0.30825935967172546,0.37452440454697977,0.26508930273627396,0.2675341467335958,0.3859347468789133,0.4149414181413762,0.3550944147644619,0.19901015780970957,0.3655216310658611,0.2705251965531699,0.2681364580321818,0.49919521284079593,0.36874097217604096,0.41543951516979993,0.41918132913355294,0.4310115061304784,0.4877713472782112,0.2448731000003918,0.4284399528900858,0.2544878383098822,0.37878064655783844
AIG,0.31338793926783187,0.3637774949186542,0.44097110535539974,0.37543955765740883,1.0,0.5270591909416309,0.34728787544394646,0.3278334173663027,0.49727346575681186,0.4579993610078639,0.5906325893044148,0.29397497720764454,0.5740246378185032,0.3426442471197654,0.54421531906463,0.2659367616662195,0.6161341766759851,0.4802449567812043,0.29596712551397153,0.3178216398419875,0.4146464356311017,0.534802919458097,0.3988617052943487,0.3309740663740655,0.37224399333980895,0.374635005796159,0.450913442373331,0.3833309953985868,0.4724234800114864,0.21782243498934356,0.495391568168089,0.2489273531754491,0.459810919369073,0.456906859385834,0.48638019321351433,0.44835476570194555,0.3100712849941442,0.35662564308688316,0.3568702127038717,0.5417728090197182,0.41168085819606154,0.4252245859432589,0.5421233920253139,0.370026621579785,0.3823053196121146,0.3624857401497053,0.5941520954545879,0.2538479526284522,0.35849020030818407,0.29771127514524687,0.3941529895921892,0.37195686143368817,0.43477337547648454,0.30830730075046225,0.4138967896250285,0.6231139015435759,0.4756614747443836,0.27211934980598346,0.35682335483976274,0.5721399633207656,0.37644362981360874,0.27469151120922997,0.18655512467367436,0.34737520441606773,0.32852073493263617,0.42045860196807905,0.43935440049011626,0.3149207916589633,0.3902189095085386,0.2756491758505516,0.30321364526878575,0.33197131343043296,0.3881261684055329,0.4628639717473748,0.19845105884836992,0.4057968224864421,0.3396515095590962,0.2812732613105564,0.437393046622216,0.36523100962861255,0.45503197627815334,0.44950861836280315,0.576576982923913,0.4109337033110642,0.3109096043964216,0.5943040930636043,0.23677910013475423,0.4584412066850862
ALL,0.331479048672064,0.42290421566578307,0.4799935320525729,0.40304476976164805,0.5270591909416309,1.0,0.37651740744315476,0.3431751505672608,0.5231234136986123,0.49268683847818845,0.5763618271549049,0.27871923936989573,0.5893425386192442,0.32992837384678236,0.5948163921857066,0.30920663836121254,0.5966614149759378,0.5066963319678811,0.31348333038205933,0.40002047921944783,0.47516993061354124,0.5386013579104866,0.4163292352791927,0.4263914842188945,0.4357068949299987,0.42203476388491495,0.4972052949127146,0.43387157158205814,0.5096400646564364,0.3377185228514521,0.5495553656978159,0.3403053941629074,0.48650035892315024,0.518059473905605,0.5168450255206516,0.4768936054935417,0.3241110748127921,0.37976251216125817,0.380406724300574,0.5457131793988745,0.44231933267803164,0.4701217372584764,0.5962232321738605,0.4265231498186657,0.40772706290849137,0.47496965129272856,0.62638407006146,0.3676324193934464,0.4416161089707351,0.35831753250341475,0.43036935314073366,0.431823986946369,0.45426406278576426,0.3837022398727926,0.46160773636087604,0.6228682710941349,0.5836552750762876,0.36614201568164945,0.4160909624333001,0.5848263522809501,0.42609348185922175,0.3665580451526809,0.15085068166136056,0.38770139823046945,0.331991523544221,0.4561330602957078,0.4712668393905042,0.410180332508001,0.465207107503813,0.41309351300567865,0.3637539150283911,0.3760654091082401,0.4111239843508848,0.4750587031789466,0.29946850972884653,0.4807244025439298,0.4240872079537595,0.3167370760548824,0.4551324205637261,0.4248459572704791,0.5187375996687046,0.51291296676675,0.6408076837794289,0.4403260509931538,0.400127221574853,0.6233435126701465,0.33436060696225817,0.49958233250323014
AMGN,0.3067185677675352,0.5101195957958846,0.4007891856651734,0.3809543050610536,0.34728787544394646,0.37651740744315476,1.0,0.33037516346611545,0.40195875748876336,0.3792617997789147,0.3650018039521074,0.5200284042085169,0.41299284524000723,0.3353316702695932,0.45801979067901993,0.44373466848130716,0.39157832108055673,0.3576066593422465,0.2676471989594722,0.35251484970684643,0.39940660502707387,0.3774001797092893,0.31890531482653794,0.3425159801479374,0.3371087202282478,0.4014492267740649,0.3665805852490678,0.36495023344349764,0.42642909651126376,0.23998764862372166,0.374088540785261,0.22609945029780656,0.3349952845748758,0.4149409925717955,0.4218239037111378,0.3472693906137181,0.5298012855971819,0.38969657217689707,0.3890097977798523,0.3947078722130604,0.29633798663735533,0.4162364179679641,0.4614520274367627,0.35185237462208835,0.39249994515846093,0.5170707290096769,0.41287055696109787,0.35456021370500357,0.3516408743380191,0.47991228862989715,0.3967754291800978,0.3405614863159062,0.4029558897763365,0.3390861568216274,0.4729756118041187,0.4231499599065006,0.44354686589643183,0.3001274322552611,0.5020593471775929,0.3873621245863358,0.3847359346911906,0.28865574363723917,0.18825519579474811,0.34039718301267047,0.2881888459815944,0.37720035200001173,0.32245116471041263,0.36003030273347203,0.5477667118284878,0.37339335194895784,0.3228177928306002,0.3480221311316758,0.33939014367347264,0.3304030292502517,0.22646755456485726,0.3289652924860178,0.3488570026170099,0.25899703979083705,0.4221678284746697,0.4238249823388991,0.3967751369811511,0.42620450492948025,0.425140278488946,0.3918422492980103,0.3331377864332746,0.41287849452334585,0.2994450814013555,0.3986111891699314
AMZN,0.3844976603774375,0.3388595501726662,0.41234255823342636,0.4512788650096283,0.3278334173663027,0.3431751505672608,0.33037516346611545,1.0,0.37267437625169963,0.3829004570517049,0.33155805402833166,0.261712353164376,0.3437231438442439,0.5004482165000211,0.3966614366400428,0.21436559832023488,0.3566161262931088,0.3795091636953851,0.24586725275872193,0.2606811374338723,0.333155390352581,0.3311529123142049,0.27477812754210346,0.32605435890927836,0.3697201525010141,0.26174086678122177,0.3294004936018672,0.33414582407509874,0.3896361199879376,0.15533712569720753,0.3596079289393205,0.15383799372081658,0.35840028573494254,0.37382279351967096,0.37171293105143255,0.3048621344363828,0.29513170866887684,0.557664229363151,0.5575973968225846,0.34846776067803237,0.31838430001810347,0.3872776031843408,0.41869331809215715,0.34478939806137393,0.36253776375349694,0.3144527765716053,0.3454260138124697,0.19721111160101623,0.2664798027019636,0.23829773161636814,0.31327346614629403,0.34475031018384344,0.4828018172982991,0.3102593972069649,0.35691052330720774,0.36679183432997065,0.3933739290572929,0.22855909746197337,0.25319154067656247,0.34970555284745014,0.4717965278264982,0.2107713404309953,0.3813156787307922,0.3544598888375617,0.36507855388968063,0.3850592200909976,0.31776647407940917,0.2583832809344666,0.3099848414825381,0.19596092271399093,0.23290616783504484,0.3201366617941501,0.4116800625361738,0.3205448940606529,0.13812154746338015,0.2975858768216483,0.2525101974178289,0.22548294638925412,0.42573168644915865,0.3313147551006609,0.3499122450791551,0.37954199262626404,0.35516753771018794,0.4450105008922396,0.2007234734503038,0.3551896475354318,0.1966165163625722,0.32047834462418584
AXP,0.3704425525775711,0.45348137547986034,0.482628801582173,0.43377831901351727,0.49727346575681186,0.5231234136986123,0.40195875748876336,0.37267437625169963,1.0,0.5276850007172277,0.6049729684748081,0.3340476135368579,0.6325975648418475,0.389490357811351,0.5934747619268704,0.31353502915924125,0.611116536202034,0.5347301046761294,0.3174279351617973,0.3574174115558226,0.46593455675981166,0.6807553650574916,0.4179284145742691,0.39708705378193687,0.4261106970563865,0.42912048698152083,0.4718271779885722,0.4164746499258585,0.5223154843338591,0.261341587977885,0.5568753673564816,0.2820716772703075,0.5118101096249585,0.5128654347382217,0.5238005731845626,0.49340080135135234,0.35405114621481887,0.4381068916544968,0.4372275116868923,0.5864123825964985,0.4111194955983873,0.5073947296824506,0.5977266760734574,0.4384340238358515,0.43907170556099095,0.442771445106747,0.6380344461001332,0.29146076736855187,0.39677004931577775,0.35913943086351857,0.45089482520776397,0.44527963153569916,0.5530951525420581,0.3599574707704756,0.47169623621659285,0.6177483279227144,0.5564763310192098,0.29849938647719587,0.4196267366840883,0.6022547447492763,0.4626321223288788,0.3200174042935767,0.22082721214290738,0.4269123313684345,0.3690372614787543,0.4770173569335397,0.4259433127126989,0.3577415766756212,0.4591717317310275,0.3558609685722667,0.32343264814736855,0.4100213696484997,0.4377365161001346,0.45109466096330164,0.22457183221638055,0.4548975490167574,0.3872437772344794,0.33198835634681373,0.4628683552797321,0.4215072798421583,0.5150321411314843,0.5024170057197814,0.6584709688996166,0.5377600479280632,0.3597959029211064,0.6397516327659313,0.29788533727592864,0.4685359977369036
BA,0.3997035863851398,0.45764847045385076,0.5131668416795663,0.4397259407811004,0.4579993610078639,0.49268683847818845,0.3792617997789147,0.3829004570517049,0.5276850007172277,1.0,0.4977843624625665,0.32049262826262553,0.5393118279952185,0.4039907805263446,0.5514867167004189,0.3265955307511289,0.525108155165857,0.5598481599321646,0.30225698452556704,0.3971744289702257,0.43701846676814166,0.4952722040830009,0.40895657336932495,0.3596326208819811,0.43482709932029745,0.3816055896266256,0.48211197951160295,0.43136138903997734,0.5196335725698569,0.24428973855065692,0.5623825453116635,0.27471373561985823,0.47150021026147926,0.5442936743208817,0.5832619067560795,0.46961749367796846,0.342687696136841,0.4212648944815287,0.42170795339916833,0.5017676926896808,0.42594434489401756,0.47906497627450567,0.6581856531422848,0.45898942580609686,0.44604057218946985,0.45011282080206677,0.5348269598243608,0.3355262314760926,0.40738874539867537,0.32722234147265444,0.5720186032824208,0.40650299843904336,0.4975002100968431,0.37734805143250394,0.4707206589389483,0.5319129488722403,0.5851484678232728,0.361249240736377,0.38957626078937985,0.5064025333901988,0.44412198365006333,0.31737348845124086,0.22636179376723223,0.42349752963056597,0.3866468294228733,0.45663938751818545,0.45280463361330325,0.3710778343589085,0.42088355581291526,0.36084976895844983,0.3525916654495395,0.40197855520876846,0.4151429323595534,0.459115036844723,0.22089126255483768,0.43047893661987485,0.38535298167665977,0.32468645228926557,0.502081953891473,0.43154012247388585,0.5394372866860838,0.5122165232218729,0.5407341835865219,0.4657555381284763,0.32790469879830136,0.5462787574496731,0.31341508208097224,0.49645431575340293
